0_Name_of_Disease,1_Disease_URL,2_Image_of_Disease_URL
Basal cell epithelioma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell epithelioma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell epithelioma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell epithelioma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basalioma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images,https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basalioma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images,https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basalioma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basalioma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basalioma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Behcet disease images,https://dermnetnz.org/images/behcet-disease-images,https://dermnetnz.org/assets/collection/Behcet-disease/behcet-disease-00033__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Besnier prurigo images,https://dermnetnz.org/topics/atopic-dermatitis-images,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Bowenoid papulosis images,https://dermnetnz.org/topics/bowenoid-papulosis-images,https://dermnetnz.org/assets/Uploads/bp2__FocusFillWzE1MCwxMTAsIngiLDIzXQ.jpg
Bullous pemphigoid images,https://dermnetnz.org/topics/bullous-pemphigoid-images,https://dermnetnz.org/assets/Uploads/3362__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
COVID-19 images,https://dermnetnz.org/topics/covid-19-images,https://dermnetnz.org/assets/Uploads/covid-8__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
"Candida affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Candida albicans affecting the nail images,https://dermnetnz.org/topics/candida-albicans-affecting-the-nail-images,https://dermnetnz.org/assets/Uploads/1272__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Candida intertrigo images,https://dermnetnz.org/topics/candida-intertrigo-images,https://dermnetnz.org/assets/Uploads/1292__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
